"","V1","match_id","year","slam","match_num","player1","player2","status","winner","event_name","round","court_name","court_id","player1id","player2id","nation1","nation2","player1_rank","player2_rank","pServeP1","pReceiveP1","pServeP2","pReceiveP2"
"25",24,"2011-ausopen-1156",2011,"ausopen",1156,"Thiemo de Bakker","Gael Monfils","Complete",2,"Men's Singles","Round 1","Hisense Arena","B","atpd776","atpmc65","NED","FRA",NA,NA,0.544502617801047,0.33587786259542,0.66412213740458,0.455497382198953
"26",25,"2011-ausopen-1157",2011,"ausopen",1157,"Mardy Fish","Victor Hanescu","Complete",1,"Men's Singles","Round 1","Show Court 3","E","atpf339","atph528","USA","ROU",16,52,0.652173913043478,0.363013698630137,0.636986301369863,0.347826086956522
"27",26,"2011-ausopen-1160",2011,"ausopen",1160,"Lukasz Kubot","Sam Querrey","Complete",1,"Men's Singles","Round 1","Show Court 2","D","atpk540","atpq927","POL","USA",72,18,0.645962732919255,0.412790697674419,0.587209302325581,0.354037267080745
"28",27,"2011-ausopen-1163",2011,"ausopen",1163,"Yen-Hsun Lu","Gilles Simon","Complete",2,"Men's Singles","Round 1","Court 6","H","atpl575","atpsd32","TPE","FRA",NA,NA,0.579365079365079,0.32,0.68,0.420634920634921
"29",28,"2011-ausopen-1164",2011,"ausopen",1164,"Lukas Lacko","Roger Federer","Complete",2,"Men's Singles","Round 1","Rod Laver Arena","A","atpl797","atpf324","SVK","SUI",99,2,0.469879518072289,0.203389830508475,0.796610169491525,0.530120481927711
"30",29,"2011-ausopen-1201",2011,"ausopen",1201,"Rafael Nadal","Ryan Sweeting","Complete",1,"Men's Singles","Round 2","Rod Laver Arena","A","atpn409","atpsg87","ESP","USA",1,116,0.71875,0.564102564102564,0.435897435897436,0.28125
"31",30,"2011-ausopen-1202",2011,"ausopen",1202,"Bernard Tomic","Feliciano Lopez","Complete",1,"Men's Singles","Round 2","Hisense Arena","B","atpta46","atpl397","AUS","ESP",209,32,0.718446601941748,0.32967032967033,0.67032967032967,0.281553398058252
"32",31,"2011-ausopen-1203",2011,"ausopen",1203,"John Isner","Radek Stepanek","Complete",1,"Men's Singles","Round 2","Show Court 3","E","atpi186","atps694","USA","CZE",20,65,0.747474747474748,0.352272727272727,0.647727272727273,0.252525252525252
"33",32,"2011-ausopen-1204",2011,"ausopen",1204,"Santiago Giraldo","Marin Cilic","Complete",2,"Men's Singles","Round 2","Show Court 2","D","atpg725","atpc977","COL","CRO",64,15,0.605633802816901,0.29126213592233,0.70873786407767,0.394366197183099
"34",33,"2011-ausopen-1205",2011,"ausopen",1205,"Mikhail Youzhny","Blaz Kavcic","Complete",1,"Men's Singles","Round 2","Court 6","H","atpy061","atpk834","RUS","SLO",10,100,0.657534246575342,0.41958041958042,0.58041958041958,0.342465753424658
"35",34,"2011-ausopen-1206",2011,"ausopen",1206,"Milos Raonic","Michael Llodra","Complete",1,"Men's Singles","Round 2","Show Court 3","E","atpr975","atpl428","CAN","FRA",153,22,0.810526315789474,0.333333333333333,0.666666666666667,0.189473684210526
"36",35,"2011-ausopen-1207",2011,"ausopen",1207,"David Nalbandian","Richard Berankis","Retired",2,"Men's Singles","Round 2","Show Court 2","D","atpn301","atpbe90","ARG","LTU",NA,NA,NA,NA,NA,NA
"37",36,"2011-ausopen-1208",2011,"ausopen",1208,"Michael Russell","David Ferrer","Complete",2,"Men's Singles","Round 2","Show Court 2","D","atpr368","atpf401","USA","ESP",103,7,0.5,0.222222222222222,0.777777777777778,0.5
"38",37,"2011-ausopen-1209",2011,"ausopen",1209,"Robin Soderling","Gilles Muller","Complete",1,"Men's Singles","Round 2","Hisense Arena","B","atpsa49","atpma30","SWE","LUX",4,122,0.82051282051282,0.373333333333333,0.626666666666667,0.17948717948718
"39",38,"2011-ausopen-1212",2011,"ausopen",1212,"Andreas Seppi","Jo-Wilfried Tsonga","Complete",2,"Men's Singles","Round 2","Margaret Court Arena","C","atpsa93","atpt786","ITA","FRA",NA,NA,0.645833333333333,0.330578512396694,0.669421487603306,0.354166666666667
"40",39,"2011-ausopen-1213",2011,"ausopen",1213,"Jurgen Melzer","Pere Riba","Complete",1,"Men's Singles","Round 2","Court 8","J","atpm762","atpr750","AUT","ESP",11,71,0.684931506849315,0.481927710843373,0.518072289156627,0.315068493150685
"41",40,"2011-ausopen-1214",2011,"ausopen",1214,"Juan Martin Del Potro","Marcos Baghdatis","Complete",2,"Men's Singles","Round 2","Rod Laver Arena","A","atpd683","atpb837","ARG","CYP",259,21,0.577981651376147,0.320388349514563,0.679611650485437,0.422018348623853
"42",41,"2011-ausopen-1215",2011,"ausopen",1215,"Guillermo Garcia-Lopez","Eduardo Schwank","Complete",1,"Men's Singles","Round 2","Court 8","J","atpg476","atpse66","ESP","ARG",NA,NA,0.752941176470588,0.419642857142857,0.580357142857143,0.247058823529412
"43",42,"2011-ausopen-1216",2011,"ausopen",1216,"Illya Marchenko","Andy Murray","Complete",2,"Men's Singles","Round 2","Margaret Court Arena","C","atpme89","atpmc10","UKR","GBR",78,5,0.47887323943662,0.341463414634146,0.658536585365854,0.52112676056338
"44",43,"2011-ausopen-1217",2011,"ausopen",1217,"Tomas Berdych","Philipp Kohlschreiber","Complete",1,"Men's Singles","Round 2","Margaret Court Arena","C","atpba47","atpk435","CZE","GER",6,34,0.694214876033058,0.408333333333333,0.591666666666667,0.305785123966942
"45",44,"2011-ausopen-1218",2011,"ausopen",1218,"Adrian Mannarino","Richard Gasquet","Complete",2,"Men's Singles","Round 2","Court 8","J","atpme82","atpg628","FRA","FRA",80,29,0.560747663551402,0.291666666666667,0.708333333333333,0.439252336448598
"46",45,"2011-ausopen-1219",2011,"ausopen",1219,"Florian Mayer","Kei Nishikori","Complete",2,"Men's Singles","Round 2","Court 6","H","atpmb02","atpn552","GER","JPN",37,83,0.576271186440678,0.387931034482759,0.612068965517241,0.423728813559322
"47",46,"2011-ausopen-1220",2011,"ausopen",1220,"Janko Tipsarevic","Fernando Verdasco","Complete",2,"Men's Singles","Round 2","Hisense Arena","B","atpt742","atpv306","SRB","ESP",48,9,0.577922077922078,0.364238410596026,0.635761589403974,0.422077922077922
"48",47,"2011-ausopen-1221",2011,"ausopen",1221,"Nicolas Almagro","Igor Andreev","Complete",1,"Men's Singles","Round 2","Show Court 3","E","atpa479","atpa511","ESP","RUS",14,79,0.662576687116564,0.348571428571429,0.651428571428571,0.337423312883436
"49",48,"2011-ausopen-1222",2011,"ausopen",1222,"Benoit Paire","Ivan Ljubicic","Complete",2,"Men's Singles","Round 2","Show Court 2","D","atppd31","atpl360","FRA","CRO",148,17,0.6,0.3515625,0.6484375,0.4
"50",49,"2011-ausopen-1224",2011,"ausopen",1224,"Ivan Dodig","Novak Djokovic","Complete",2,"Men's Singles","Round 2","Hisense Arena","B","atpd646","atpd643","CRO","SRB",82,3,0.589041095890411,0.289256198347107,0.710743801652893,0.410958904109589
"51",50,"2011-ausopen-1225",2011,"ausopen",1225,"Andy Roddick","Igor Kunitsyn","Complete",1,"Men's Singles","Round 2","Rod Laver Arena","A","atpr485","atpk403","USA","RUS",8,101,0.817073170731707,0.351648351648352,0.648351648351648,0.182926829268293
"52",51,"2011-ausopen-1226",2011,"ausopen",1226,"Robin Haase","Juan Monaco","Complete",1,"Men's Singles","Round 2","Court 6","H","atph756","atpma21","NED","ARG",62,26,0.587837837837838,0.454545454545455,0.545454545454545,0.412162162162162
